Set,Start Time,End Time,Latitude (S),Longitude (E,fs [kHz],Duty Cycle,Logger type
2505,10/16/2000,11/18/2000,21° 36.000',114° 0.000',10,2/10,
2664,09/28/2004,03/17/2005,21° 28.453',114° 3.170',5,2/15,
2680,05/28/2005,09/22/2005,20° 10.916',115° 22.534',,3/15,
2708,05/25/2006,08/28/2006,9° 49.011',129° 24.287',na,7/15,
2710,06/22/2006,08/22/2006,19° 12.442',116° 35.079',,7/15,
2721,09/13/2006,02/03/2007,13° 50.436',123° 17.625',6,3/15,
2722,09/14/2006,03/01/2007,14° 24.804',124° 53.659',,3/15,
2734,09/05/2006,04/30/2007,14° 23.016',122° 4.006',,3/15,
2735,06/14/2007,09/12/2007,14° 3.369',121° 44.981',6,3/15,
2740,06/14/2007,09/12/2007,14° 4.588',121° 52.548',6,3/15,
2755,04/01/2007,11/12/2007,13° 50.307',123° 17.708',6,3/15,
2761,06/14/2007,02/02/2008,14° 20.004',122° 10.000',6,3/15,
2762,06/14/2007,02/03/2008,13° 45.006',122° 4.000',6,3/15,
2791,02/05/2008,09/28/2008,14° 4.580',121° 52.540',,3/15,
2793,02/03/2008,09/27/2008,14° 19.926',122° 10.000',,3/15,
2797,11/30/2007,08/11/2008,14° 24.864',124° 53.692',,3/15,
2809,04/16/2009,07/20/2009,21° 25.006',114° 50.000',,3/15,
2810,05/06/2009,07/22/2009,19° 52.973',115° 16.419',6,3/15,
2812,05/06/2009,07/23/2009,19° 52.011',115° 16.966',6,3/15,
2817,09/28/2008,06/09/2009,14° 3.000',121° 50.836',,3/15,
2845,06/17/2009,12/25/2009,17° 26.723',122° 2.726',na,3/15,
2860,07/24/2009,03/23/2010,19° 51.921',115° 17.013',6,3/17,
2942,09/15/2010,03/09/2011,13° 7.783',128° 11.482',,5/15,
3014,09/17/2011,03/30/2012,13° 7.782',128° 11.489',,5/15,
3017,10/06/2011,01/18/2012,20° 23.603',114° 3.893',,3/15,
3057,03/09/2011,09/17/2011,13° 7.737',128° 11.521',,5/15,
3066,04/14/2011,07/12/2011,20° 14.206',113° 53.592',,1/42,
3107,04/01/2012,09/18/2012,13° 7.777',128° 11.471',,5/15,
3173,09/20/2012,03/20/2013,13° 7.699',128° 11.393',,5/15,
3197,03/22/2013,09/13/2013,13° 7.795',128° 11.481',,5/15,
3714,09/29/2021,10/30/2021,20° 28.727',113° 58.023',,5/20,LH
3715,09/30/2021,05/12/2022,20° 17.154',115° 10.763',,5/20,LH
3716,09/30/2021,06/02/2022,20 ° 2.781',114° 53.699',,5/20,LH
3718,10/01/2021,06/01/2022,19° 46.844',114° 33.766',,5/20,LH
3720,10/01/2021,06/03/2022,19° 47.469',114° 34.476',,3/15,
3721,10/01/2021,06/03/2022,18° 57.512',113° 37.136',,5/20,LH
3723,10/02/2021,06/03/2022,19 ° 8.573',115° 13.980',,5/20,LH
3754,06/01/2022,02/14/2023,20° 28.748',113° 57.860',,7/15,LF
3755,06/02/2022,01/31/2023,20° 17.125',115° 10.974',,5/20,LH
3757,06/02/2022,02/16/2023,20° ° 2.766',114° 53.541',,7/15,LF
3758,06/01/2022,02/02/2023,19° 46.754',114° 33.457',,5/20,LH
3761,06/03/2022,02/18/2023,19° 22.819',114° 6.408',,7/15,LF
3762,06/02/2022,02/04/2023,18° 57.530',113° 37.148',,5/20,LH
3765,06/04/2022,02/17/2023,19° ° 8.491',115° 13.726',,7/15,LF
